교통량1,교통량2,교통량3,교통량4,교통량5,교통량6,교통량7,교통량8,교통량9,교통량10,교통량11,교통량12,교통량13,교통량14,교통량15,교통량16,날씨1,날씨2,날씨3,날씨4,날씨5,날씨6,날씨7,공휴일,신호1,신호2,신호3,신호4,신호5,신호6,방향,속도,날짜
126,138,241,160,101,65,202,49,162,98,15,216,45,98,137,31,15.1,0,6.6,65,0,0,15.2,0,24,31,20,17,17,17,0,24.2,0
126,138,241,160,101,65,202,49,162,98,15,216,45,98,137,31,15.1,0,6.6,65,0,0,15.2,0,24,31,20,17,17,17,1,30.3,0
126,138,241,160,101,65,202,49,162,98,15,216,45,98,137,31,15.1,0,6.6,65,0,0,15.2,0,24,31,20,17,17,17,2,23.3,0
126,138,241,160,101,65,202,49,162,98,15,216,45,98,137,31,15.1,0,6.6,65,0,0,15.2,0,24,31,20,17,17,17,3,34.6,0
126,138,241,160,101,65,202,49,162,98,15,216,45,98,137,31,15.1,0,6.6,65,0,0,15.2,0,24,31,20,17,17,17,4,31.7,0
126,138,241,160,101,65,202,49,162,98,15,216,45,98,137,31,15.1,0,6.6,65,0,0,15.2,0,24,31,20,17,17,17,5,21.5,0
104,112,202,135,81,57,156,55,125,65,18,180,34,88,131,35,14.9,0,5.1,63,0,0,14.7,0,24,31,20,17,17,17,0,28,1
104,112,202,135,81,57,156,55,125,65,18,180,34,88,131,35,14.9,0,5.1,63,0,0,14.7,0,24,31,20,17,17,17,1,29.8,1
104,112,202,135,81,57,156,55,125,65,18,180,34,88,131,35,14.9,0,5.1,63,0,0,14.7,0,24,31,20,17,17,17,2,23.7,1
104,112,202,135,81,57,156,55,125,65,18,180,34,88,131,35,14.9,0,5.1,63,0,0,14.7,0,24,31,20,17,17,17,3,32.8,1
104,112,202,135,81,57,156,55,125,65,18,180,34,88,131,35,14.9,0,5.1,63,0,0,14.7,0,24,31,20,17,17,17,4,28.2,1
104,112,202,135,81,57,156,55,125,65,18,180,34,88,131,35,14.9,0,5.1,63,0,0,14.7,0,24,31,20,17,17,17,5,16.4,1
77,100,190,110,67,41,126,47,107,66,10,148,33,93,114,25,14.7,0,6.3,58,0,0,14.1,0,24,31,20,17,17,17,0,31.1,2
77,100,190,110,67,41,126,47,107,66,10,148,33,93,114,25,14.7,0,6.3,58,0,0,14.1,0,24,31,20,17,17,17,1,28.1,2
77,100,190,110,67,41,126,47,107,66,10,148,33,93,114,25,14.7,0,6.3,58,0,0,14.1,0,24,31,20,17,17,17,2,28.8,2
77,100,190,110,67,41,126,47,107,66,10,148,33,93,114,25,14.7,0,6.3,58,0,0,14.1,0,24,31,20,17,17,17,3,32.3,2
77,100,190,110,67,41,126,47,107,66,10,148,33,93,114,25,14.7,0,6.3,58,0,0,14.1,0,24,31,20,17,17,17,4,30.2,2
77,100,190,110,67,41,126,47,107,66,10,148,33,93,114,25,14.7,0,6.3,58,0,0,14.1,0,24,31,20,17,17,17,5,19.8,2
63,90,167,87,51,29,112,42,77,55,7,132,32,83,100,19,14.1,0,5,62,0,0,14,0,24,31,20,17,17,17,0,26.8,3
63,90,167,87,51,29,112,42,77,55,7,132,32,83,100,19,14.1,0,5,62,0,0,14,0,24,31,20,17,17,17,1,26.2,3
